"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
1,"Fri","2020-09-18","20:30","Bayern Munich",5.1,"8-0",0.2,"Schalke 04",NA,"Allianz Arena","Felix Zwayer","Match Report",NA
1,"Sat","2020-09-19","15:30","Köln",2.1,"2-3",3.1,"Hoffenheim",NA,"RheinEnergieSTADION","Daniel Siebert","Match Report",NA
1,"Sat","2020-09-19","15:30","Stuttgart",3.1,"2-3",2,"Freiburg",7123,"Mercedes-Benz Arena","Benjamin Cortus","Match Report",NA
1,"Sat","2020-09-19","15:30","Eint Frankfurt",1.6,"1-1",1,"Arminia",6500,"Commerzbank-Arena","Benjamin Brand","Match Report",NA
1,"Sat","2020-09-19","15:30","Union Berlin",1.3,"1-3",1.1,"Augsburg",4600,"Stadion An der Alten Försterei","Marco Fritz","Match Report",NA
1,"Sat","2020-09-19","15:30","Werder Bremen",1,"1-4",2.1,"Hertha BSC",8400,"Weserstadion","Sascha Stegemann","Match Report",NA
1,"Sat","2020-09-19","18:30","Dortmund",1.6,"3-0",0.6,"M'Gladbach",9300,"Signal Iduna Park","Felix Brych","Match Report",NA
1,"Sun","2020-09-20","15:30","RB Leipzig",2.8,"3-1",1.2,"Mainz 05",8500,"Red Bull Arena","Manuel Gräfe","Match Report",NA
1,"Sun","2020-09-20","18:00","Wolfsburg",1,"0-0",0.7,"Leverkusen",NA,"Volkswagen Arena","Sven Jablonski","Match Report",NA
2,"Fri","2020-09-25","20:30","Hertha BSC",1.1,"1-3",1.7,"Eint Frankfurt",4000,"Olympiastadion Berlin","Bastian Dankert","Match Report",NA
2,"Sat","2020-09-26","15:30","Arminia",0.2,"1-0",0.9,"Köln",5460,"SchücoArena","Patrick Ittrich","Match Report",NA
2,"Sat","2020-09-26","15:30","Mainz 05",1.2,"1-4",2.7,"Stuttgart",3403,"Opel Arena","Daniel Schlager","Match Report",NA
2,"Sat","2020-09-26","15:30","M'Gladbach",1.3,"1-1",0.9,"Union Berlin",10383,"Stadion im Borussia-Park","Tobias Stieler","Match Report",NA
2,"Sat","2020-09-26","15:30","Leverkusen",0.8,"1-1",0.8,"RB Leipzig",6042,"BayArena","Harm Osmers","Match Report",NA
2,"Sat","2020-09-26","15:30","Augsburg",1,"2-0",1.7,"Dortmund",6000,"WWK Arena","Martin Petersen","Match Report",NA
2,"Sat","2020-09-26","18:30","Schalke 04",1.2,"1-3",2.4,"Werder Bremen",NA,"Veltins-Arena","Markus Schmidt","Match Report",NA
2,"Sun","2020-09-27","15:30","Hoffenheim",4,"4-1",1.6,"Bayern Munich",NA,"PreZero Arena","Benjamin Brand","Match Report",NA
2,"Sun","2020-09-27","18:00","Freiburg",1.5,"1-1",0.6,"Wolfsburg",3200,"Schwarzwald-Stadion","Sören Storks","Match Report",NA
3,"Fri","2020-10-02","20:30","Union Berlin",1.9,"4-0",0.2,"Mainz 05",4400,"Stadion An der Alten Försterei","Sascha Stegemann","Match Report",NA
3,"Sat","2020-10-03","15:30","Eint Frankfurt",2.6,"2-1",0.5,"Hoffenheim",8000,"Commerzbank-Arena","Manuel Gräfe","Match Report",NA
3,"Sat","2020-10-03","15:30","Köln",0.8,"1-3",2.2,"M'Gladbach",300,"RheinEnergieSTADION","Marco Fritz","Match Report",NA
3,"Sat","2020-10-03","15:30","Dortmund",3.1,"4-0",0.6,"Freiburg",11500,"Signal Iduna Park","Guido Winkmann","Match Report",NA
3,"Sat","2020-10-03","15:30","Werder Bremen",0.4,"1-0",0.9,"Arminia",300,"Weserstadion","Robert Schröder","Match Report",NA
3,"Sat","2020-10-03","15:30","Stuttgart",0.8,"1-1",1.4,"Leverkusen",9500,"Mercedes-Benz Arena","Robert Hartmann","Match Report",NA
3,"Sat","2020-10-03","18:30","RB Leipzig",3.2,"4-0",0.1,"Schalke 04",8500,"Red Bull Arena","Florian Badstübner","Match Report",NA
3,"Sun","2020-10-04","15:30","Wolfsburg",1.2,"0-0",0.9,"Augsburg",4632,"Volkswagen Arena","Felix Zwayer","Match Report",NA
3,"Sun","2020-10-04","18:00","Bayern Munich",3.8,"4-3",1.4,"Hertha BSC",NA,"Allianz Arena","Benjamin Cortus","Match Report",NA
4,"Sat","2020-10-17","15:30","Freiburg",1,"1-1",1.6,"Werder Bremen",NA,"Schwarzwald-Stadion","Christian Dingert","Match Report",NA
4,"Sat","2020-10-17","15:30","Hertha BSC",1.2,"0-2",0.8,"Stuttgart",4000,"Olympiastadion Berlin","Harm Osmers","Match Report",NA
4,"Sat","2020-10-17","15:30","Augsburg",0.7,"0-2",1.7,"RB Leipzig",NA,"WWK Arena","Felix Brych","Match Report",NA
4,"Sat","2020-10-17","15:30","Mainz 05",0.3,"0-1",0.5,"Leverkusen",250,"Opel Arena","Bastian Dankert","Match Report",NA
4,"Sat","2020-10-17","15:30","Hoffenheim",1,"0-1",2.4,"Dortmund",6030,"PreZero Arena","Sascha Stegemann","Match Report",NA
4,"Sat","2020-10-17","18:30","Arminia",1.4,"1-4",2.6,"Bayern Munich",NA,"SchücoArena","Daniel Siebert","Match Report",NA
4,"Sat","2020-10-17","20:30","M'Gladbach",1.6,"1-1",1.2,"Wolfsburg",300,"Stadion im Borussia-Park","Daniel Schlager","Match Report",NA
