"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.182,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.978,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.13,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.169,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.424,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.97,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.398,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.608,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.674,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.376,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.511,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.78,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.479,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.469,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.794,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.204,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.176,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.784,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.612,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.929,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.392,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.554,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.656,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.646,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.232,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.783,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.207,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.061,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.63,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.749,
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.492,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.033,
"RUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",1.843,
"SVN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.955,
"ZAF","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"GRC","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.66,
"TUR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.533,
"ARG","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"CHN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"COL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.145,
"LVA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.254,
"SAU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"CRI","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.995,
"LTU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.315,
