"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
5,"Sat","2019-09-21","15:30","Freiburg",1,"1-1",1,"Augsburg",23800,"Schwarzwald-Stadion","Bastian Dankert","Match Report",NA
5,"Sat","2019-09-21","18:30","Werder Bremen",0.6,"0-3",1.5,"RB Leipzig",40550,"Weserstadion","Tobias Stieler","Match Report",NA
5,"Sun","2019-09-22","15:30","M'Gladbach",2.4,"2-1",1.1,"Düsseldorf",52413,"Stadion im Borussia-Park","Christian Dingert","Match Report",NA
5,"Sun","2019-09-22","18:00","Eint Frankfurt",1.1,"2-2",2.2,"Dortmund",51500,"Commerzbank-Arena","Markus Schmidt","Match Report",NA
5,"Mon","2019-09-23","20:30","Wolfsburg",1.2,"1-1",0.7,"Hoffenheim",21120,"Volkswagen Arena","Benjamin Cortus","Match Report",NA
6,"Fri","2019-09-27","20:30","Union Berlin",0.6,"1-2",1.5,"Eint Frankfurt",22012,"Stadion An der Alten Försterei","Sascha Stegemann","Match Report",NA
6,"Sat","2019-09-28","15:30","RB Leipzig",1.3,"1-3",2.6,"Schalke 04",42146,"Red Bull Arena","Manuel Gräfe","Match Report",NA
6,"Sat","2019-09-28","15:30","Paderborn 07",0.4,"2-3",2.9,"Bayern Munich",15000,"Benteler-Arena","Felix Zwayer","Match Report",NA
6,"Sat","2019-09-28","15:30","Mainz 05",0.7,"0-1",0.4,"Wolfsburg",24303,"Opel Arena","Felix Brych","Match Report",NA
6,"Sat","2019-09-28","15:30","Hoffenheim",1.6,"0-3",1.8,"M'Gladbach",29030,"PreZero Arena","Harm Osmers","Match Report",NA
6,"Sat","2019-09-28","15:30","Augsburg",0.4,"0-3",0.9,"Leverkusen",27113,"WWK Arena","Robert Kampka","Match Report",NA
6,"Sat","2019-09-28","18:30","Dortmund",2.1,"2-2",1.4,"Werder Bremen",81365,"Signal Iduna Park","Deniz Aytekin","Match Report",NA
6,"Sun","2019-09-29","15:30","Düsseldorf",1.3,"1-2",1.6,"Freiburg",39244,"Merkur Spielarena","Daniel Siebert","Match Report",NA
6,"Sun","2019-09-29","18:00","Köln",0.8,"0-4",1.5,"Hertha BSC",49700,"RheinEnergieSTADION","Sören Storks","Match Report",NA
7,"Fri","2019-10-04","20:30","Hertha BSC",1.4,"3-1",1.2,"Düsseldorf",37128,"Olympiastadion Berlin","Martin Petersen","Match Report",NA
7,"Sat","2019-10-05","15:30","Freiburg",0.5,"2-2",0.7,"Dortmund",24000,"Schwarzwald-Stadion","Sven Jablonski","Match Report",NA
7,"Sat","2019-10-05","15:30","Leverkusen",1.3,"1-1",1.5,"RB Leipzig",26355,"BayArena","Marco Fritz","Match Report",NA
7,"Sat","2019-10-05","15:30","Paderborn 07",1.7,"1-2",2.5,"Mainz 05",14217,"Benteler-Arena","Patrick Ittrich","Match Report",NA
7,"Sat","2019-10-05","15:30","Bayern Munich",1.5,"1-2",0.8,"Hoffenheim",75000,"Allianz Arena","Tobias Stieler","Match Report",NA
7,"Sat","2019-10-05","18:30","Schalke 04",1.6,"1-1",0.7,"Köln",61883,"Veltins-Arena","Tobias Welz","Match Report",NA
7,"Sun","2019-10-06","13:30","M'Gladbach",3,"5-1",1.2,"Augsburg",50352,"Stadion im Borussia-Park","Robert Schröder","Match Report",NA
7,"Sun","2019-10-06","15:30","Wolfsburg",2.3,"1-0",0.5,"Union Berlin",27012,"Volkswagen Arena","Bastian Dankert","Match Report",NA
7,"Sun","2019-10-06","18:00","Eint Frankfurt",2.2,"2-2",1.7,"Werder Bremen",51500,"Commerzbank-Arena","Guido Winkmann","Match Report",NA
8,"Fri","2019-10-18","20:30","Eint Frankfurt",2.5,"3-0",1.5,"Leverkusen",50800,"Commerzbank-Arena","Christian Dingert","Match Report",NA
8,"Sat","2019-10-19","15:30","Werder Bremen",1,"1-1",0.5,"Hertha BSC",41447,"Weserstadion","Felix Brych","Match Report",NA
8,"Sat","2019-10-19","15:30","RB Leipzig",1.3,"1-1",1.5,"Wolfsburg",39182,"Red Bull Arena","Deniz Aytekin","Match Report",NA
8,"Sat","2019-10-19","15:30","Union Berlin",1,"2-0",0.5,"Freiburg",22012,"Stadion An der Alten Försterei","Benjamin Cortus","Match Report",NA
8,"Sat","2019-10-19","15:30","Augsburg",2,"2-2",2.8,"Bayern Munich",30660,"WWK Arena","Daniel Siebert","Match Report",NA
8,"Sat","2019-10-19","15:30","Düsseldorf",1.3,"1-0",0.2,"Mainz 05",40660,"Merkur Spielarena","Felix Zwayer","Match Report",NA
8,"Sat","2019-10-19","18:30","Dortmund",1.8,"1-0",2.5,"M'Gladbach",81365,"Signal Iduna Park","Sascha Stegemann","Match Report",NA
8,"Sun","2019-10-20","15:30","Köln",2.3,"3-0",0.4,"Paderborn 07",50000,"RheinEnergieSTADION","Manuel Gräfe","Match Report",NA
8,"Sun","2019-10-20","18:00","Hoffenheim",1.1,"2-0",1.1,"Schalke 04",29477,"PreZero Arena","Robert Hartmann","Match Report",NA
9,"Fri","2019-10-25","20:30","Mainz 05",1.5,"3-1",1.9,"Köln",31999,"Opel Arena","Frank Willenborg","Match Report",NA
9,"Sat","2019-10-26","15:30","Bayern Munich",3.3,"2-1",1.6,"Union Berlin",75000,"Allianz Arena","Marco Fritz","Match Report",NA
9,"Sat","2019-10-26","15:30","Schalke 04",1.1,"0-0",0.4,"Dortmund",61873,"Veltins-Arena","Felix Brych","Match Report",NA
9,"Sat","2019-10-26","15:30","Hertha BSC",2.2,"2-3",2.2,"Hoffenheim",44702,"Olympiastadion Berlin","Markus Schmidt","Match Report",NA
9,"Sat","2019-10-26","15:30","Freiburg",1.4,"2-1",2.2,"RB Leipzig",24000,"Schwarzwald-Stadion","Harm Osmers","Match Report",NA
9,"Sat","2019-10-26","15:30","Paderborn 07",0.7,"2-0",1.4,"Düsseldorf",14182,"Benteler-Arena","Bastian Dankert","Match Report",NA
9,"Sat","2019-10-26","18:30","Leverkusen",1.9,"2-2",0.7,"Werder Bremen",30210,"BayArena","Martin Petersen","Match Report",NA
9,"Sun","2019-10-27","15:30","Wolfsburg",0.8,"0-0",0.8,"Augsburg",22630,"Volkswagen Arena","Tobias Stieler","Match Report",NA
9,"Sun","2019-10-27","18:00","M'Gladbach",1.8,"4-2",1,"Eint Frankfurt",52300,"Stadion im Borussia-Park","Daniel Schlager","Match Report",NA
10,"Fri","2019-11-01","20:30","Hoffenheim",1.7,"3-0",0.4,"Paderborn 07",23629,"PreZero Arena","Robert Schröder","Match Report",NA
10,"Sat","2019-11-02","15:30","Eint Frankfurt",2.7,"5-1",1.1,"Bayern Munich",51500,"Commerzbank-Arena","Markus Schmidt","Match Report",NA
10,"Sat","2019-11-02","15:30","Dortmund",1.7,"3-0",1.6,"Wolfsburg",80200,"Signal Iduna Park","Tobias Welz","Match Report",NA
10,"Sat","2019-11-02","15:30","Werder Bremen",1.8,"2-2",1,"Freiburg",41000,"Weserstadion","Christian Dingert","Match Report",NA
10,"Sat","2019-11-02","15:30","Leverkusen",2.8,"1-2",2.3,"M'Gladbach",30210,"BayArena","Daniel Siebert","Match Report",NA
10,"Sat","2019-11-02","15:30","RB Leipzig",3.6,"8-0",0.8,"Mainz 05",38517,"Red Bull Arena","Guido Winkmann","Match Report",NA
10,"Sat","2019-11-02","18:30","Union Berlin",1.2,"1-0",0.4,"Hertha BSC",22012,"Stadion An der Alten Försterei","Deniz Aytekin","Match Report",NA
10,"Sun","2019-11-03","15:30","Düsseldorf",1.7,"2-0",0.7,"Köln",51155,"Merkur Spielarena","Sven Jablonski","Match Report",NA
10,"Sun","2019-11-03","18:00","Augsburg",1.8,"2-3",0.5,"Schalke 04",30361,"WWK Arena","Patrick Ittrich","Match Report",NA
11,"Fri","2019-11-08","20:30","Köln",0.7,"1-2",1.8,"Hoffenheim",49100,"RheinEnergieSTADION","Robert Kampka","Match Report",NA
11,"Sat","2019-11-09","15:30","Paderborn 07",1.2,"0-1",1,"Augsburg",13758,"Benteler-Arena","Marco Fritz","Match Report",NA
11,"Sat","2019-11-09","15:30","Schalke 04",1.6,"3-3",1.7,"Düsseldorf",61831,"Veltins-Arena","Robert Hartmann","Match Report",NA
11,"Sat","2019-11-09","15:30","Hertha BSC",0.4,"2-4",2,"RB Leipzig",48532,"Olympiastadion Berlin","Sören Storks","Match Report",NA
11,"Sat","2019-11-09","15:30","Mainz 05",1.7,"2-3",0.8,"Union Berlin",24349,"Opel Arena","Harm Osmers","Match Report",NA
11,"Sat","2019-11-09","18:30","Bayern Munich",3.1,"4-0",0.5,"Dortmund",75000,"Allianz Arena","Felix Zwayer","Match Report",NA
11,"Sun","2019-11-10","13:30","M'Gladbach",1.4,"3-1",1.7,"Werder Bremen",54022,"Stadion im Borussia-Park","Tobias Stieler","Match Report",NA
11,"Sun","2019-11-10","15:30","Wolfsburg",0.8,"0-2",1.6,"Leverkusen",24112,"Volkswagen Arena","Manuel Gräfe","Match Report",NA
11,"Sun","2019-11-10","18:00","Freiburg",0.9,"1-0",1,"Eint Frankfurt",24000,"Schwarzwald-Stadion","Felix Brych","Match Report",NA
12,"Fri","2019-11-22","20:30","Dortmund",2.5,"3-3",1.6,"Paderborn 07",81365,"Signal Iduna Park","Christian Dingert","Match Report",NA
12,"Sat","2019-11-23","15:30","Düsseldorf",0.7,"0-4",3.5,"Bayern Munich",53000,"Merkur Spielarena","Frank Willenborg","Match Report",NA
12,"Sat","2019-11-23","15:30","Leverkusen",3.5,"1-1",1.2,"Freiburg",29032,"BayArena","Deniz Aytekin","Match Report",NA
12,"Sat","2019-11-23","15:30","Union Berlin",1.6,"2-0",1,"M'Gladbach",22012,"Stadion An der Alten Försterei","Felix Brych","Match Report",NA
12,"Sat","2019-11-23","15:30","Werder Bremen",1.7,"1-2",0.5,"Schalke 04",42100,"Weserstadion","Benjamin Cortus","Match Report",NA
12,"Sat","2019-11-23","15:30","Eint Frankfurt",1,"0-2",1.1,"Wolfsburg",50700,"Commerzbank-Arena","Daniel Siebert","Match Report",NA
12,"Sat","2019-11-23","18:30","RB Leipzig",2.3,"4-1",0.4,"Köln",42036,"Red Bull Arena","Robert Schröder","Match Report",NA
12,"Sun","2019-11-24","15:30","Augsburg",2.3,"4-0",0.4,"Hertha BSC",29233,"WWK Arena","Sascha Stegemann","Match Report",NA
12,"Sun","2019-11-24","18:00","Hoffenheim",2,"1-5",1.9,"Mainz 05",23129,"PreZero Arena","Bastian Dankert","Match Report",NA
13,"Fri","2019-11-29","20:30","Schalke 04",1.6,"2-1",1.8,"Union Berlin",61837,"Veltins-Arena","Daniel Schlager","Match Report",NA
13,"Sat","2019-11-30","15:30","Hoffenheim",1.6,"1-1",1,"Düsseldorf",25427,"PreZero Arena","Martin Petersen","Match Report",NA
13,"Sat","2019-11-30","15:30","Paderborn 07",1.6,"2-3",2.4,"RB Leipzig",13253,"Benteler-Arena","Bibiana Steinhaus","Match Report",NA
13,"Sat","2019-11-30","15:30","Hertha BSC",1.2,"1-2",1.2,"Dortmund",74667,"Olympiastadion Berlin","Sven Jablonski","Match Report",NA
13,"Sat","2019-11-30","15:30","Köln",1.4,"1-1",1.8,"Augsburg",49200,"RheinEnergieSTADION","Tobias Stieler","Match Report",NA
13,"Sat","2019-11-30","18:30","Bayern Munich",2.6,"1-2",1.3,"Leverkusen",75000,"Allianz Arena","Guido Winkmann","Match Report",NA
13,"Sun","2019-12-01","15:30","M'Gladbach",4.9,"4-2",1.3,"Freiburg",51080,"Stadion im Borussia-Park","Felix Zwayer","Match Report",NA
13,"Sun","2019-12-01","18:00","Wolfsburg",2.2,"2-3",1.3,"Werder Bremen",26012,"Volkswagen Arena","Robert Kampka","Match Report",NA
13,"Mon","2019-12-02","20:30","Mainz 05",2.1,"2-1",1.1,"Eint Frankfurt",33134,"Opel Arena","Manuel Gräfe","Match Report",NA
14,"Fri","2019-12-06","20:30","Eint Frankfurt",2.5,"2-2",1.3,"Hertha BSC",50000,"Commerzbank-Arena","Christian Dingert","Match Report",NA
14,"Sat","2019-12-07","15:30","Freiburg",0.4,"1-0",1.2,"Wolfsburg",23800,"Schwarzwald-Stadion","Bastian Dankert","Match Report",NA
14,"Sat","2019-12-07","15:30","Dortmund",3,"5-0",0.1,"Düsseldorf",81365,"Signal Iduna Park","Daniel Siebert","Match Report",NA
14,"Sat","2019-12-07","15:30","RB Leipzig",3.8,"3-1",1.1,"Hoffenheim",38407,"Red Bull Arena","Deniz Aytekin","Match Report",NA
14,"Sat","2019-12-07","15:30","Augsburg",3.2,"2-1",0.4,"Mainz 05",26950,"WWK Arena","Markus Schmidt","Match Report",NA
14,"Sat","2019-12-07","15:30","M'Gladbach",1.3,"2-1",1.7,"Bayern Munich",54022,"Stadion im Borussia-Park","Marco Fritz","Match Report",NA
14,"Sat","2019-12-07","18:30","Leverkusen",2.3,"2-1",1.1,"Schalke 04",30210,"BayArena","Harm Osmers","Match Report",NA
14,"Sun","2019-12-08","15:30","Union Berlin",2,"2-0",1.1,"Köln",22012,"Stadion An der Alten Försterei","Patrick Ittrich","Match Report",NA
14,"Sun","2019-12-08","18:00","Werder Bremen",0.9,"0-1",1.3,"Paderborn 07",39870,"Weserstadion","Sascha Stegemann","Match Report",NA
15,"Fri","2019-12-13","20:30","Hoffenheim",2.1,"2-4",2.2,"Augsburg",23309,"PreZero Arena","Bibiana Steinhaus","Match Report",NA
15,"Sat","2019-12-14","15:30","Mainz 05",0.2,"0-4",1.2,"Dortmund",33305,"Opel Arena","Benjamin Cortus","Match Report",NA
15,"Sat","2019-12-14","15:30","Hertha BSC",0.7,"1-0",0.8,"Freiburg",37343,"Olympiastadion Berlin","Frank Willenborg","Match Report",NA
15,"Sat","2019-12-14","15:30","Köln",1.5,"2-0",0.2,"Leverkusen",49500,"RheinEnergieSTADION","Manuel Gräfe","Match Report",NA
15,"Sat","2019-12-14","15:30","Bayern Munich",4.9,"6-1",0.5,"Werder Bremen",75000,"Allianz Arena","Robert Schröder","Match Report",NA
15,"Sat","2019-12-14","15:30","Paderborn 07",1,"1-1",1.3,"Union Berlin",14414,"Benteler-Arena","Sven Jablonski","Match Report",NA
15,"Sat","2019-12-14","18:30","Düsseldorf",0.1,"0-3",3.4,"RB Leipzig",35387,"Merkur Spielarena","Robert Hartmann","Match Report",NA
15,"Sun","2019-12-15","15:30","Wolfsburg",1.1,"2-1",0.4,"M'Gladbach",25580,"Volkswagen Arena","Felix Brych","Match Report",NA
15,"Sun","2019-12-15","18:00","Schalke 04",1,"1-0",0.7,"Eint Frankfurt",60811,"Veltins-Arena","Felix Zwayer","Match Report",NA
16,"Tue","2019-12-17","18:30","Werder Bremen",1,"0-5",2.8,"Mainz 05",37720,"Weserstadion","Frank Willenborg","Match Report",NA
16,"Tue","2019-12-17","20:30","Union Berlin",1.3,"0-2",0.8,"Hoffenheim",20350,"Stadion An der Alten Försterei","Sören Storks","Match Report",NA
16,"Tue","2019-12-17","20:30","Dortmund",1.1,"3-3",2.5,"RB Leipzig",80200,"Signal Iduna Park","Tobias Stieler","Match Report",NA
16,"Tue","2019-12-17","20:30","Augsburg",1.2,"3-0",0.4,"Düsseldorf",27763,"WWK Arena","Marco Fritz","Match Report",NA
16,"Wed","2019-12-18","18:30","Leverkusen",0.9,"0-1",1.2,"Hertha BSC",24472,"BayArena","Bastian Dankert","Match Report",NA
16,"Wed","2019-12-18","20:30","Freiburg",1.7,"1-3",3.4,"Bayern Munich",24000,"Schwarzwald-Stadion","Sascha Stegemann","Match Report",NA
16,"Wed","2019-12-18","20:30","Eint Frankfurt",1.4,"2-4",2.5,"Köln",50300,"Commerzbank-Arena","Deniz Aytekin","Match Report",NA
16,"Wed","2019-12-18","20:30","Wolfsburg",2.1,"1-1",1.2,"Schalke 04",24651,"Volkswagen Arena","Martin Petersen","Match Report",NA
16,"Wed","2019-12-18","20:30","M'Gladbach",2.5,"2-0",0.5,"Paderborn 07",44494,"Stadion im Borussia-Park","Robert Kampka","Match Report",NA
17,"Fri","2019-12-20","20:30","Hoffenheim",1.1,"2-1",1.7,"Dortmund",30150,"PreZero Arena","Felix Zwayer","Match Report",NA
17,"Sat","2019-12-21","15:30","RB Leipzig",3.3,"3-1",0.5,"Augsburg",40562,"Red Bull Arena","Daniel Siebert","Match Report",NA
17,"Sat","2019-12-21","15:30","Schalke 04",1.6,"2-2",2.8,"Freiburg",61867,"Veltins-Arena","Felix Brych","Match Report",NA
17,"Sat","2019-12-21","15:30","Bayern Munich",1.3,"2-0",0.9,"Wolfsburg",75000,"Allianz Arena","Christian Dingert","Match Report",NA
17,"Sat","2019-12-21","15:30","Mainz 05",1.9,"0-1",1.5,"Leverkusen",24345,"Opel Arena","Patrick Ittrich","Match Report",NA
17,"Sat","2019-12-21","15:30","Köln",1.1,"1-0",0.2,"Werder Bremen",50000,"RheinEnergieSTADION","Daniel Schlager","Match Report",NA
17,"Sat","2019-12-21","18:30","Hertha BSC",0.4,"0-0",0.8,"M'Gladbach",50208,"Olympiastadion Berlin","Harm Osmers","Match Report",NA
17,"Sun","2019-12-22","15:30","Düsseldorf",1,"2-1",2,"Union Berlin",45490,"Merkur Spielarena","Benjamin Cortus","Match Report",NA
17,"Sun","2019-12-22","18:00","Paderborn 07",2.9,"2-1",2,"Eint Frankfurt",15000,"Benteler-Arena","Markus Schmidt","Match Report",NA
18,"Fri","2020-01-17","20:30","Schalke 04",1.5,"2-0",0.8,"M'Gladbach",62271,"Veltins-Arena","Deniz Aytekin","Match Report",NA
18,"Sat","2020-01-18","15:30","Düsseldorf",1,"0-1",1,"Werder Bremen",46000,"Merkur Spielarena","Felix Brych","Match Report",NA
18,"Sat","2020-01-18","15:30","Mainz 05",2.5,"1-2",1.5,"Freiburg",23138,"Opel Arena","Sven Jablonski","Match Report",NA
18,"Sat","2020-01-18","15:30","Köln",1.3,"3-1",1.7,"Wolfsburg",49100,"RheinEnergieSTADION","Marco Fritz","Match Report",NA
18,"Sat","2020-01-18","15:30","Hoffenheim",0.9,"1-2",1.5,"Eint Frankfurt",29610,"PreZero Arena","Sascha Stegemann","Match Report",NA
18,"Sat","2020-01-18","15:30","Augsburg",1.8,"3-5",4.8,"Dortmund",30660,"WWK Arena","Manuel Gräfe","Match Report",NA
18,"Sat","2020-01-18","18:30","RB Leipzig",2.1,"3-1",1.4,"Union Berlin",42146,"Red Bull Arena","Bastian Dankert","Match Report",NA
18,"Sun","2020-01-19","15:30","Hertha BSC",0.6,"0-4",2.3,"Bayern Munich",74667,"Olympiastadion Berlin","Tobias Stieler","Match Report",NA
18,"Sun","2020-01-19","18:00","Paderborn 07",1.3,"1-4",2.2,"Leverkusen",14889,"Benteler-Arena","Daniel Siebert","Match Report",NA
19,"Fri","2020-01-24","20:30","Dortmund",2.6,"5-1",1.2,"Köln",81365,"Signal Iduna Park","Harm Osmers","Match Report",NA
19,"Sat","2020-01-25","15:30","Wolfsburg",1.1,"1-2",1.8,"Hertha BSC",24894,"Volkswagen Arena","Markus Schmidt","Match Report",NA
19,"Sat","2020-01-25","15:30","Eint Frankfurt",1.2,"2-0",1.3,"RB Leipzig",50300,"Commerzbank-Arena","Daniel Siebert","Match Report",NA
19,"Sat","2020-01-25","15:30","Union Berlin",1,"2-0",1.6,"Augsburg",22012,"Stadion An der Alten Försterei","Bibiana Steinhaus","Match Report",NA
19,"Sat","2020-01-25","15:30","Freiburg",1.4,"0-2",1.8,"Paderborn 07",23500,"Schwarzwald-Stadion","Christian Dingert","Match Report",NA
19,"Sat","2020-01-25","15:30","M'Gladbach",2.3,"3-1",0.7,"Mainz 05",49175,"Stadion im Borussia-Park","Felix Zwayer","Match Report",NA
19,"Sat","2020-01-25","18:30","Bayern Munich",3.4,"5-0",0.4,"Schalke 04",75000,"Allianz Arena","Manuel Gräfe","Match Report",NA
19,"Sun","2020-01-26","15:30","Werder Bremen",0.7,"0-3",0.9,"Hoffenheim",40000,"Weserstadion","Martin Petersen","Match Report",NA
19,"Sun","2020-01-26","18:00","Leverkusen",3.7,"3-0",0.7,"Düsseldorf",26250,"BayArena","Daniel Schlager","Match Report",NA
20,"Fri","2020-01-31","20:30","Hertha BSC",0.4,"0-0",0.7,"Schalke 04",47863,"Olympiastadion Berlin","Sascha Stegemann","Match Report",NA
20,"Sat","2020-02-01","15:30","Dortmund",3.3,"5-0",0.3,"Union Berlin",81365,"Signal Iduna Park","Benjamin Cortus","Match Report",NA
20,"Sat","2020-02-01","15:30","Hoffenheim",3.1,"2-1",2.5,"Leverkusen",24489,"PreZero Arena","Deniz Aytekin","Match Report",NA
20,"Sat","2020-02-01","15:30","Augsburg",1.1,"2-1",0.5,"Werder Bremen",29432,"WWK Arena","Marco Fritz","Match Report",NA
20,"Sat","2020-02-01","15:30","Mainz 05",0.3,"1-3",1.5,"Bayern Munich",33305,"Opel Arena","Bastian Dankert","Match Report",NA
20,"Sat","2020-02-01","15:30","Düsseldorf",0.3,"1-1",1,"Eint Frankfurt",45018,"Merkur Spielarena","Frank Willenborg","Match Report",NA
20,"Sat","2020-02-01","18:30","RB Leipzig",1.6,"2-2",1.2,"M'Gladbach",42146,"Red Bull Arena","Tobias Stieler","Match Report",NA
20,"Sun","2020-02-02","15:30","Köln",3.6,"4-0",0.6,"Freiburg",50000,"RheinEnergieSTADION","Robert Kampka","Match Report",NA
20,"Sun","2020-02-02","18:00","Paderborn 07",1,"2-4",1.5,"Wolfsburg",13926,"Benteler-Arena","Patrick Ittrich","Match Report",NA
