"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
1,"Fri","2019-08-16","20:30","Bayern Munich",2.6,"2-2",1,"Hertha BSC",75000,"Allianz Arena","Harm Osmers","Match Report",NA
1,"Sat","2019-08-17","15:30","Werder Bremen",2.4,"1-3",0.9,"Düsseldorf",42100,"Weserstadion","Felix Zwayer","Match Report",NA
1,"Sat","2019-08-17","15:30","Leverkusen",2.7,"3-2",1.2,"Paderborn 07",26208,"BayArena","Tobias Stieler","Match Report",NA
1,"Sat","2019-08-17","15:30","Freiburg",1.8,"3-0",0.9,"Mainz 05",24000,"Schwarzwald-Stadion","Robert Hartmann","Match Report",NA
1,"Sat","2019-08-17","15:30","Dortmund",2.7,"5-1",0.8,"Augsburg",81365,"Signal Iduna Park","Frank Willenborg","Match Report",NA
1,"Sat","2019-08-17","15:30","Wolfsburg",0.9,"2-1",1.2,"Köln",25099,"Volkswagen Arena","Sven Jablonski","Match Report",NA
1,"Sat","2019-08-17","18:30","M'Gladbach",1.6,"0-0",0.6,"Schalke 04",54022,"Stadion im Borussia-Park","Felix Brych","Match Report",NA
1,"Sun","2019-08-18","15:30","Eint Frankfurt",1.1,"1-0",0.6,"Hoffenheim",50200,"Commerzbank-Arena","Daniel Siebert","Match Report",NA
1,"Sun","2019-08-18","18:00","Union Berlin",0.5,"0-4",3.1,"RB Leipzig",22467,"Stadion An der Alten Försterei","Markus Schmidt","Match Report",NA
2,"Fri","2019-08-23","20:30","Köln",0.7,"1-3",1.4,"Dortmund",50000,"RheinEnergieSTADION","Christian Dingert","Match Report",NA
2,"Sat","2019-08-24","15:30","Augsburg",1.3,"1-1",1.1,"Union Berlin",27703,"WWK Arena","Robert Schröder","Match Report",NA
2,"Sat","2019-08-24","15:30","Hoffenheim",0.7,"3-2",1.3,"Werder Bremen",27333,"PreZero Arena","Sascha Stegemann","Match Report",NA
2,"Sat","2019-08-24","15:30","Mainz 05",1.3,"1-3",1.6,"M'Gladbach",28005,"Opel Arena","Martin Petersen","Match Report",NA
2,"Sat","2019-08-24","15:30","Paderborn 07",1.7,"1-3",2.2,"Freiburg",14322,"Benteler-Arena","Tobias Welz","Match Report",NA
2,"Sat","2019-08-24","15:30","Düsseldorf",1,"1-3",1.8,"Leverkusen",44538,"Merkur Spielarena","Patrick Ittrich","Match Report",NA
2,"Sat","2019-08-24","18:30","Schalke 04",1,"0-3",1.5,"Bayern Munich",62271,"Veltins-Arena","Marco Fritz","Match Report",NA
2,"Sun","2019-08-25","15:30","RB Leipzig",1.4,"2-1",1,"Eint Frankfurt",40108,"Red Bull Arena","Benjamin Cortus","Match Report",NA
2,"Sun","2019-08-25","18:00","Hertha BSC",1.1,"0-3",1.2,"Wolfsburg",42738,"Olympiastadion Berlin","Guido Winkmann","Match Report",NA
3,"Fri","2019-08-30","20:30","M'Gladbach",1.1,"1-3",2.2,"RB Leipzig",47327,"Stadion im Borussia-Park","Sven Jablonski","Match Report",NA
3,"Sat","2019-08-31","15:30","Schalke 04",1,"3-0",0.8,"Hertha BSC",58875,"Veltins-Arena","Tobias Stieler","Match Report",NA
3,"Sat","2019-08-31","15:30","Freiburg",0.7,"1-2",1.4,"Köln",24000,"Schwarzwald-Stadion","Robert Kampka","Match Report",NA
3,"Sat","2019-08-31","15:30","Bayern Munich",2.7,"6-1",0.4,"Mainz 05",75000,"Allianz Arena","Markus Schmidt","Match Report",NA
3,"Sat","2019-08-31","15:30","Wolfsburg",0.6,"1-1",0.7,"Paderborn 07",23750,"Volkswagen Arena","Daniel Schlager","Match Report",NA
3,"Sat","2019-08-31","15:30","Leverkusen",0.8,"0-0",0.3,"Hoffenheim",26506,"BayArena","Felix Zwayer","Match Report",NA
3,"Sat","2019-08-31","18:30","Union Berlin",1.9,"3-1",1.9,"Dortmund",22012,"Stadion An der Alten Försterei","Felix Brych","Match Report",NA
3,"Sun","2019-09-01","15:30","Werder Bremen",2.5,"3-2",1.5,"Augsburg",40041,"Weserstadion","Sören Storks","Match Report",NA
3,"Sun","2019-09-01","18:00","Eint Frankfurt",1.2,"2-1",0.6,"Düsseldorf",49800,"Commerzbank-Arena","Frank Willenborg","Match Report",NA
4,"Fri","2019-09-13","20:30","Düsseldorf",0.5,"1-1",1.3,"Wolfsburg",36758,"Merkur Spielarena","Manuel Gräfe","Match Report",NA
4,"Sat","2019-09-14","15:30","Dortmund",2.5,"4-0",0.8,"Leverkusen",81365,"Signal Iduna Park","Daniel Siebert","Match Report",NA
4,"Sat","2019-09-14","15:30","Mainz 05",1.7,"2-1",2.2,"Hertha BSC",22798,"Opel Arena","Marco Fritz","Match Report",NA
4,"Sat","2019-09-14","15:30","Augsburg",1.6,"2-1",1.1,"Eint Frankfurt",28513,"WWK Arena","Harm Osmers","Match Report",NA
4,"Sat","2019-09-14","15:30","Union Berlin",2,"1-2",2.7,"Werder Bremen",22012,"Stadion An der Alten Försterei","Tobias Welz","Match Report",NA
4,"Sat","2019-09-14","15:30","Köln",0.9,"0-1",1.7,"M'Gladbach",50000,"RheinEnergieSTADION","Deniz Aytekin","Match Report",NA
4,"Sat","2019-09-14","18:30","RB Leipzig",1.5,"1-1",1.5,"Bayern Munich",42146,"Red Bull Arena","Sascha Stegemann","Match Report",NA
4,"Sun","2019-09-15","15:30","Hoffenheim",1.5,"0-3",1.2,"Freiburg",29395,"PreZero Arena","Guido Winkmann","Match Report",NA
4,"Sun","2019-09-15","18:00","Paderborn 07",1.1,"1-5",2.7,"Schalke 04",15000,"Benteler-Arena","Robert Schröder","Match Report",NA
5,"Fri","2019-09-20","20:30","Schalke 04",1.3,"2-1",1.2,"Mainz 05",58687,"Veltins-Arena","Daniel Schlager","Match Report",NA
5,"Sat","2019-09-21","15:30","Bayern Munich",2.4,"4-0",0.6,"Köln",75000,"Allianz Arena","Patrick Ittrich","Match Report",NA
5,"Sat","2019-09-21","15:30","Leverkusen",1.6,"2-0",0.2,"Union Berlin",27430,"BayArena","Robert Hartmann","Match Report",NA
5,"Sat","2019-09-21","15:30","Hertha BSC",1.3,"2-1",1.3,"Paderborn 07",43588,"Olympiastadion Berlin","Frank Willenborg","Match Report",NA
