"INSEE_COM","CITY","MED16"
77145,"Crisenoy",25.5517
77146,"Croissy-Beaubourg",28.234
77147,"La Croix-en-Brie",23.1526666666667
77148,"Crouy-sur-Ourcq",21.855
77150,"Cuisy",26.3565
77151,"Dagny",24.2673333333333
77152,"Dammarie-les-Lys",18.6942857142857
77153,"Dammartin-en-Goële",24.386
77154,"Dammartin-sur-Tigeaux",24.5363636363636
77155,"Dampmart",24.542
77156,"Darvault",22.5993333333333
77157,"Dhuisy",24.73
77158,"Diant",22.2635
77159,"Donnemarie-Dontilly",20.8698
77161,"Dormelles",26.496
77162,"Doue",22.6441666666667
77163,"Douy-la-Ramée",23.4038095238095
77164,"Échouboulains",22.7130434782609
77165,"Les Écrennes",25.5817391304348
77167,"Égligny",22.95
77168,"Égreville",20.835
77169,"Émerainville",24.5157575757576
77171,"Esbly",25.23
77172,"Esmans",22.556
77173,"Étrépilly",23.5008
77174,"Everly",20.7335
77175,"Évry-Grégy-sur-Yerre",27.6382777777778
77176,"Faremoutiers",23.0909523809524
77177,"Favières",27.7405555555556
77178,"Faÿ-lès-Nemours",23.8352
77179,"Féricy",27.9014285714286
77180,"Férolles-Attilly",31.806
77181,"Ferrières-en-Brie",26.6813333333333
77182,"La Ferté-Gaucher",17.4
77183,"La Ferté-sous-Jouarre",19.4026666666667
77184,"Flagy",23.2885714285714
77185,"Fleury-en-Bière",30.9293333333333
77186,"Fontainebleau",24.6066666666667
77187,"Fontaine-Fourches",19.1354838709677
77188,"Fontaine-le-Port",28.5928
77190,"Fontains",24.975
77191,"Fontenailles",24.6872222222222
77192,"Fontenay-Trésigny",22.6957142857143
77193,"Forfry",28.6739285714286
77194,"Forges",22.8993333333333
77195,"Fouju",26.1252380952381
77196,"Fresnes-sur-Marne",26.656
77197,"Frétoy",24.1052173913043
77198,"Fromont",24.741
77199,"Fublaines",23.2930434782609
77200,"Garentreville",26.3894444444444
77201,"Gastins",23.7061904761905
77202,"La Genevraye",23.468
77203,"Germigny-l'Évêque",27.9106666666667
77204,"Germigny-sous-Coulombs",22.1352380952381
77205,"Gesvres-le-Chapitre",27.1783333333333
77206,"Giremoutiers",22.8208
77207,"Gironville",20.9411666666667
77208,"Gouaix",20.95
77209,"Gouvernes",31.856
77210,"La Grande-Paroisse",22.7961111111111
77211,"Grandpuits-Bailly-Carrois",22.209
77212,"Gravon",25.5218333333333
77214,"Gressy",33.3
77215,"Gretz-Armainvilliers",21.8678787878788
77216,"Grez-sur-Loing",24.2229166666667
77217,"Grisy-Suisnes",26.7543888888889
77218,"Grisy-sur-Seine",19.7445
77219,"Guérard",26.0357142857143
77220,"Guercheville",24.0266666666667
77221,"Guermantes",31.1444444444444
77222,"Guignes",22.2310714285714
